ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(4.4935e+07)","Runtime Improvement""""(1.1779e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,68.49,checkSortedRowWiseInt,checkSortedRowWiseInt..,0.02  (-64.39%),0.01,3.23  (-35.94%),10.97  (+33.77%),16   (+0.00%),"  512,    1,    1","   32,    1,    1"
1,23.33,sortRowsKernelInt,sortRowsKernelInt..,"22.64 (+49,210.59%)",5.28,"89.48 (+1,674.21%)",89.48 (+990.97%),18  (+12.50%),"  512,    1,    1","   32,    1,    1"
2,33.38,transposeKernelInt,transposeKernelInt..,0.03  (-44.74%),0.01,24.24 (+380.60%),66.62 (+712.33%),16   (+0.00%),"   16,   16,    1","   32,   32,    1"
3,67.80,checkSortedRowWiseInt,checkSortedRowWiseInt..,0.02  (-65.30%),0.01,4.30  (-14.75%),13.04  (+59.00%),16   (+0.00%),"  512,    1,    1","   32,    1,    1"
4,29.06,sortRowsKernelInt,sortRowsKernelInt..,"22.18 (+48,212.20%)",6.45,"91.28 (+1,709.98%)","91.28 (+1,012.97%)",18  (+12.50%),"  512,    1,    1","   32,    1,    1"
5,33.56,transposeKernelInt,transposeKernelInt..,0.03  (-44.46%),0.01,23.48 (+365.48%),66.44 (+710.09%),16   (+0.00%),"   16,   16,    1","   32,   32,    1"
6,45.53,checkSortedRowWiseInt,checkSortedRowWiseInt..,0.02  (-48.85%),0.01,10.34 (+105.04%),54.47 (+564.13%),16   (+0.00%),"  512,    1,    1","   32,    1,    1"
