ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(4.49313e+07)","Runtime Improvement""""(1.17788e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,54.08,checkSortedRowWiseInt,checkSortedRowWiseInt..,0.02,0.01,7.36,25.38,16,"  512,    1,    1","   32,    1,    1"
1,23.33,sortRowsKernelInt,sortRowsKernelInt..,22.63,5.28,89.49,89.49,18,"  512,    1,    1","   32,    1,    1"
2,36.75,transposeKernelInt,transposeKernelInt..,0.03,0.01,23.41,63.25,16,"   16,   16,    1","   32,   32,    1"
3,50.00,checkSortedRowWiseInt,checkSortedRowWiseInt..,0.02,0.01,8.43,25.53,16,"  512,    1,    1","   32,    1,    1"
4,29.06,sortRowsKernelInt,sortRowsKernelInt..,22.19,6.45,91.28,91.28,18,"  512,    1,    1","   32,    1,    1"
5,34.83,transposeKernelInt,transposeKernelInt..,0.03,0.01,25.12,65.17,16,"   16,   16,    1","   32,   32,    1"
6,52.85,checkSortedRowWiseInt,checkSortedRowWiseInt..,0.02,0.01,15.84,47.15,16,"  512,    1,    1","   32,    1,    1"
