ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(1.77677e+08)","Runtime Improvement""""(1.70831e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
54,70.60,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.04,0.03,9.73,29.40,16," 1024,    1,    1","   32,    1,    1"
55,39.64,sortRowsKernelInt,sortRowsKernelInt(int..int),2.13,0.84,60.36,60.36,45," 1024,    1,    1","   32,    1,    1"
56,22.86,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.02,24.50,77.14,16,"   32,   32,    1","   32,   32,    1"
57,61.62,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.04,0.03,12.62,38.38,16," 1024,    1,    1","   32,    1,    1"
58,39.67,sortRowsKernelInt,sortRowsKernelInt(int..int),2.13,0.84,60.33,60.33,45," 1024,    1,    1","   32,    1,    1"
59,23.71,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.02,24.69,76.29,16,"   32,   32,    1","   32,   32,    1"
60,54.63,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.04,0.02,15.27,45.37,16," 1024,    1,    1","   32,    1,    1"
61,39.67,sortRowsKernelInt,sortRowsKernelInt(int..int),2.13,0.84,60.33,60.33,45," 1024,    1,    1","   32,    1,    1"
62,23.18,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.02,24.49,76.82,16,"   32,   32,    1","   32,   32,    1"
63,49.31,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.08,0.04,13.81,50.69,16," 1024,    1,    1","   32,    1,    1"
64,39.66,sortRowsKernelInt,sortRowsKernelInt(int..int),2.13,0.84,60.34,60.34,45," 1024,    1,    1","   32,    1,    1"
65,25.14,transposeKernelInt,"transposeKernelInt(int *, int..",0.10,0.02,24.88,74.86,16,"   32,   32,    1","   32,   32,    1"
66,49.99,checkSortedRowWiseInt,checkSortedRowWiseInt(int..,0.08,0.04,17.84,50.01,16," 1024,    1,    1","   32,    1,    1"
